URL;PRICE;PRICE_SALE;STATUS;ACTIVITY;QUANTITY
https://lenta.com/product/vafli-myagkie-akulchev-myafli-rossiya-125g-520552/;80;100;"Товара много";Y;100
https://lenta.com/product/590658-rossiya-590658/;55;70;"Товара много";Y;100
https://lenta.com/product/vafli-rot-front-korovka-vkus-toplenoe-moloko-rossiya-300g-442179/;202;240;"Товара много";Y;100
https://lenta.com/product/vafli-yashkino-vafelnyjj-sendvich-rossiya-180g-311047/;107;130;"Товара много";Y;100
https://lenta.com/product/vafli-yashkino-gollandskie-s-karamelyu-rossiya-290g-118245/;0;0;;Y;0
https://lenta.com/product/vafli-yashkino-orehovye-rossiya-200g-077441/;0;0;;Y;0
https://lenta.com/product/vafli-yashkino-s-halvojj-rossiya-200g-257298/;0;0;;Y;0
https://lenta.com/product/vafli-yashkino-shokoladnye-rossiya-200g-442185/;0;0;;Y;0
https://lenta.com/product/vermishel-bystrogo-prigotovleniya-petra-so-vkusom-govyadiny-rossiya-50g-374126/;0;0;;Y;0
https://lenta.com/product/vermishel-bystrogo-prigotovleniya-rollton-na-dom-bulone-s-govyadinojj-pak-rossiya-60g-059382/;0;0;;Y;0
https://lenta.com/product/vermishel-bystrogo-prigotovleniya-rollton-na-dom-bulone-s-kuricejj-pak-rossiya-60g-059381/;0;0;;Y;0
https://lenta.com/product/vermishel-bystrogo-prigotovleniya-rollton-na-dom-bulone-s-ostrojj-kuricejj-pak-rossiya-60g-266489/;0;0;;Y;0
https://lenta.com/product/vetchina-365-dnejj-buterbrodnaya-pa-rossiya-400g-490804/;0;0;;Y;0
https://lenta.com/product/vetchina-hame-slavyanskaya-klyuch-chehiya-340g-261367/;0;0;;Y;0
https://lenta.com/product/vetchina-selo-zelenoe-iz-myasa-indejjki-var-2s-rossiya-400g-444851/;0;0;;Y;0
https://lenta.com/product/vetchina-papa-mozhet-filejjnaya-iz-myasa-pticy-po-var-rossiya-400g-435121/;0;0;;Y;0
https://lenta.com/product/vetchina-mikoyan-iz-okoroka-varenaya-pgn-rossiya-600g-135622/;0;0;;Y;0
https://lenta.com/product/vetchina-lenta-prazdnichnaya-var-pa-rossiya-400g-474368/;0;0;"Товар заканчивается";Y;0
https://lenta.com/product/vetchina-sosnovoborskaya-nezhnaya-var-2s-io-rossiya-400g-548203/;0;0;"Товар заканчивается";Y;0
https://lenta.com/product/vetchina-chelnybrojjler-ekstra-rossiya-700g-508543/;290;350;"Товара много";Y;100
https://lenta.com/product/mk-vetchina-glavprodukt-gost-r-557622013-klyuch-rossiya-325g-509683/;315;380;"Товара много";Y;100
https://lenta.com/product/vetchina-emkk-ekstra-katg-ohl-rossiya-700g-365435/;0;0;;Y;0
https://lenta.com/product/vetchina-mp-atyashevo-iz-bedra-indejjki-rossiya-500g-338859/;0;0;;Y;0
https://lenta.com/product/vetchina-cherkizovo-nezhnaya-iz-indejj-vu-rossiya-450g-567384/;0;0;;Y;0
https://lenta.com/product/myasnye-konservy-vetchina-sovok-iz-svininy-gost-vs-sk-klyuch-rossiya-325g-370069/;0;0;;Y;0
https://lenta.com/product/vetchina-jjola-alekseevskaya-rossiya-500g-292760/;0;0;;Y;0
https://lenta.com/product/vetchina-mk-velikolukskijj-v-obolochke-gost-vu-rossiya-300g-577833/;0;0;;Y;0
https://lenta.com/product/vetchina-ostankino-mramornaya-vu-ves-rossiya-1kg-445150/;0;0;;Y;0
https://lenta.com/product/vetchina-rm-leningradskaya-kat-b-rossiya-400g-525431/;0;0;;Y;0
https://lenta.com/product/vetchina-imperiya-vkusa-s-indejjkojj-rossiya-400g-078235/;0;0;;Y;0
https://lenta.com/product/vetchina-dymov-s-okorokom-pa-rossiya-400g-383427/;0;0;;Y;0
https://lenta.com/product/vetchina-sava-v-obolochke-rossiya-400g-520557/;0;0;;Y;0
https://lenta.com/product/vetchina-cherkizovo-imperiya-vkusa-so-svinym-okorokom-rossiya-400g-078238/;245;290;"Товара много";Y;100
https://lenta.com/product/vetchina-starodvorskie-kolbasy-stolichnaya-vyazanka-rossiya-500g-311652/;0;0;"Товар закончился";Y;0
https://lenta.com/product/vetchina-starodvorskie-kolbasy-stolichnaya-ves-rossiya-1kg-227694/;677;810;"Товара достаточно";Y;50
https://lenta.com/product/vetchina-starodvore-dugushka-rossiya-400g-537902/;363;440;"Товара много";Y;100
https://lenta.com/product/vetchina-cherkizovskijj-pocherkizovski-vu-rossiya-500g-352975/;0;0;"Товар заканчивается";Y;0
https://lenta.com/product/vetchina-cherkizovo-pocherkizovski-co-za-ves-rossiya-1kg-432466/;0;0;;Y;0
https://lenta.com/product/vobla-lentavybor-ekspertov-sushenaya-kaspijjskaya-solomka-rossiya-70g-522449/;0;0;;Y;0
https://lenta.com/product/voda-mineralnaya-borjomi-pitlechebstol-gaz-pet-gruziya-125l-507490/;0;0;;Y;0
https://lenta.com/product/voda-mineralnaya-mivela-mg-prirodnaya-pitevaya-lechebno-stolovaya-slabogaz-pet-serbiya-135l-591105/;0;0;;Y;0
https://lenta.com/product/voda-mineralnaya-essentuki-4-gost-pit-prir-lecheb-gaz-pet-rossiya-15l-145231/;0;0;;Y;0
https://lenta.com/product/voda-pitevaya-365-dnejj-ochishchennaya-gaz-pet-rossiya-15l-165522/;0;0;;Y;0
https://lenta.com/product/voda-pitevaya-365-dnejj-ochishchennaya-negaz-pet-rossiya-15l-165523/;0;0;;Y;0
https://lenta.com/product/voda-pitevaya-bonvida-negaz-pet-rossiya-15l-534922/;0;0;;Y;0
https://lenta.com/product/voda-pitevaya-raifskijj-istochnik-artezianskaya-pervojj-kategorii-gaz-pet-rossiya-15l-451368/;0;0;;Y;0
https://lenta.com/product/voda-pitevaya-svyatojj-istochnik-prirodnaya-artezianskaya-1jj-kategorii-gaz-pet-rossiya-1l-515374/;0;0;;Y;0
https://lenta.com/product/voda-pitevaya-hotninskaya-serebryanaya-artezianskaya-gaz-pet-rossiya-15l-526550/;0;0;;Y;0
https://lenta.com/product/vozdushnye-zerna-risa-lenta-kids-v-saharnom-sirope-rossiya-30g-483361/;0;0;;Y;0
https://lenta.com/product/581207-rossiya-581207/;210;250;"Товара много";Y;100
https://lenta.com/product/gel-dbritya-timbriz-easyglide-complex-cool-motion-rossiya-165ml-542061/;155;190;"Товара достаточно";Y;50
https://lenta.com/product/gel-dlya-dusha-le-petit-marseillais-klubnika-provansa-italiya-250ml-430291/;226;270;"Товара много";Y;100
https://lenta.com/product/gel-ddusha-nivea-svezhest-aloe-germaniya-250ml-606233/;263;320;"Товара достаточно";Y;50
https://lenta.com/product/gel-dlya-dusha-axe-perezagruzka-rossiya-250ml-136078/;0;0;;Y;0
https://lenta.com/product/gel-dlya-dusha-axe-apollo-rossiya-250ml-255228/;0;0;;Y;0
https://lenta.com/product/gel-dlya-dusha-axe-dark-temptejjshen-rossiya-250ml-147430/;0;0;;Y;0
https://lenta.com/product/gel-ddusha-fa-pure-c-aromatom-hvoi-rossiya-250ml-577141/;0;0;;Y;0
